timestamp,log_type,latitude,longitude,altitude_m,max_temp_c,hotspot_count,hotspot_size
2026-04-07 20:20:00.881106,Heartbeat,0,0,0,,,
2026-04-07 20:20:10.881764,Heartbeat,0,0,0,,,
2026-04-07 20:20:20.921453,Heartbeat,0,0,0,,,
2026-04-07 20:20:30.921497,Heartbeat,0,0,0,,,
2026-04-07 20:20:40.957154,Heartbeat,0,0,0,,,
2026-04-07 20:20:41.957184,Detection,0,0,0,68.28750000000002,1,59.0
2026-04-07 20:20:41.997433,Detection,0,0,0,70.10000000000002,1,98.0
2026-04-07 20:20:42.037271,Detection,0,0,0,71.22500000000002,1,125.0
2026-04-07 20:20:42.077237,Detection,0,0,0,71.35000000000002,1,129.5
2026-04-07 20:20:42.117491,Detection,0,0,0,72.35000000000002,1,143.0
2026-04-07 20:20:42.157172,Detection,0,0,0,72.03750000000002,1,152.5
2026-04-07 20:20:42.197473,Detection,0,0,0,71.85000000000002,1,167.5
2026-04-07 20:20:42.237357,Detection,0,0,0,74.22500000000002,1,199.5
2026-04-07 20:20:42.277165,Detection,0,0,0,75.41250000000002,1,208.5
2026-04-07 20:20:42.317300,Detection,0,0,0,76.03750000000002,1,226.5
2026-04-07 20:20:42.357221,Detection,0,0,0,76.72500000000002,1,230.0
2026-04-07 20:20:42.397484,Detection,0,0,0,76.66250000000002,1,227.0
2026-04-07 20:20:42.437266,Detection,0,0,0,76.85000000000002,1,235.0
2026-04-07 20:20:42.477357,Detection,0,0,0,76.85000000000002,1,230.0
2026-04-07 20:20:42.517391,Detection,0,0,0,76.60000000000002,1,219.5
2026-04-07 20:20:42.557142,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:42.597524,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:42.637395,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:42.677226,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:42.717322,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:42.757395,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:42.797414,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:42.837393,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:42.877358,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:42.917507,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:42.958252,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:42.997469,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:43.037304,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:43.077279,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:43.117291,Detection,0,0,0,76.66250000000002,1,228.0
2026-04-07 20:20:43.157256,Detection,0,0,0,77.47500000000002,1,240.5
2026-04-07 20:20:43.197568,Detection,0,0,0,77.47500000000002,1,239.5
2026-04-07 20:20:43.237513,Detection,0,0,0,77.41250000000002,1,236.0
