timestamp,log_type,latitude,longitude,altitude_m,max_temp_c,hotspot_count,hotspot_size
2026-03-29 21:14:19.826671,Heartbeat,0,0,0,,,
2026-03-29 21:14:29.827034,Heartbeat,0,0,0,,,
2026-03-29 21:14:38.066799,Detection,0,0,0,128.10000000000002,1,6.5
2026-03-29 21:14:38.106370,Detection,0,0,0,124.91250000000002,1,6.0
2026-03-29 21:14:38.306642,Detection,0,0,0,144.47500000000002,1,5.5
2026-03-29 21:14:38.346334,Detection,0,0,0,133.53750000000002,1,6.0
2026-03-29 21:14:38.386554,Detection,0,0,0,130.97500000000002,1,6.0
2026-03-29 21:14:38.466645,Detection,0,0,0,147.60000000000002,1,6.0
2026-03-29 21:14:38.546686,Detection,0,0,0,147.72500000000002,1,7.5
2026-03-29 21:14:38.586233,Detection,0,0,0,160.97500000000002,1,5.5
2026-03-29 21:14:38.626928,Detection,0,0,0,138.97500000000002,1,6.5
2026-03-29 21:14:38.666575,Detection,0,0,0,156.47500000000002,1,7.5
2026-03-29 21:14:38.707178,Detection,0,0,0,136.60000000000002,1,7.5
2026-03-29 21:14:38.746674,Detection,0,0,0,150.53750000000002,1,6.5
2026-03-29 21:14:38.786508,Detection,0,0,0,157.16250000000002,1,8.0
2026-03-29 21:14:38.826648,Detection,0,0,0,157.03750000000002,1,9.5
2026-03-29 21:14:38.866837,Detection,0,0,0,160.47500000000002,1,7.5
2026-03-29 21:14:38.906467,Detection,0,0,0,153.72500000000002,1,8.5
2026-03-29 21:14:38.946985,Detection,0,0,0,156.53750000000002,1,10.0
2026-03-29 21:14:38.986470,Detection,0,0,0,159.16250000000002,1,8.0
2026-03-29 21:14:39.026561,Detection,0,0,0,150.53750000000002,1,10.0
2026-03-29 21:14:39.066951,Detection,0,0,0,172.35000000000002,1,9.5
2026-03-29 21:14:39.106688,Detection,0,0,0,166.78750000000002,1,10.0
2026-03-29 21:14:39.146580,Detection,0,0,0,153.66250000000002,1,8.0
2026-03-29 21:14:39.186516,Detection,0,0,0,167.78750000000002,1,9.0
2026-03-29 21:14:39.226448,Detection,0,0,0,172.41250000000002,1,10.0
2026-03-29 21:14:39.266980,Detection,0,0,0,173.60000000000002,1,10.5
2026-03-29 21:14:39.306390,Detection,0,0,0,176.35000000000002,1,9.5
2026-03-29 21:14:39.347016,Detection,0,0,0,162.41250000000002,1,9.0
2026-03-29 21:14:39.386323,Detection,0,0,0,185.72500000000002,1,9.5
2026-03-29 21:14:39.426930,Detection,0,0,0,169.22500000000002,1,9.0
2026-03-29 21:14:39.466391,Detection,0,0,0,185.72500000000002,1,12.0
2026-03-29 21:14:39.506633,Detection,0,0,0,160.10000000000002,1,10.0
2026-03-29 21:14:39.546365,Detection,0,0,0,177.16250000000002,1,12.0
2026-03-29 21:14:39.586625,Detection,0,0,0,182.16250000000002,1,10.0
2026-03-29 21:14:39.626665,Detection,0,0,0,187.78750000000002,1,11.0
2026-03-29 21:14:39.666771,Detection,0,0,0,187.78750000000002,1,10.5
2026-03-29 21:14:39.706370,Detection,0,0,0,182.97500000000002,1,11.0
2026-03-29 21:14:39.746791,Detection,0,0,0,167.91250000000002,1,9.0
2026-03-29 21:14:39.786483,Detection,0,0,0,171.78750000000002,1,9.0
2026-03-29 21:14:39.826639,Detection,0,0,0,171.91250000000002,1,8.0
2026-03-29 21:14:39.866657,Detection,0,0,0,180.72500000000002,1,8.0
2026-03-29 21:14:39.866847,Heartbeat,0,0,0,,,
2026-03-29 21:14:39.906639,Detection,0,0,0,157.16250000000002,1,9.0
2026-03-29 21:14:39.946511,Detection,0,0,0,187.78750000000002,1,10.5
2026-03-29 21:14:39.986693,Detection,0,0,0,166.53750000000002,1,10.0
2026-03-29 21:14:40.026673,Detection,0,0,0,164.85000000000002,1,8.0
2026-03-29 21:14:40.066728,Detection,0,0,0,173.85000000000002,1,8.0
2026-03-29 21:14:40.106589,Detection,0,0,0,168.85000000000002,1,9.5
2026-03-29 21:14:40.146901,Detection,0,0,0,163.10000000000002,1,8.0
2026-03-29 21:14:40.186670,Detection,0,0,0,139.10000000000002,1,7.0
2026-03-29 21:14:40.226811,Detection,0,0,0,148.72500000000002,1,10.0
2026-03-29 21:14:40.266515,Detection,0,0,0,139.60000000000002,1,7.5
2026-03-29 21:14:40.306911,Detection,0,0,0,125.53750000000002,1,6.5
2026-03-29 21:14:40.346628,Detection,0,0,0,121.85000000000002,1,6.5
2026-03-29 21:14:40.386502,Detection,0,0,0,132.41250000000002,1,7.0
2026-03-29 21:14:40.426526,Detection,0,0,0,122.10000000000002,1,7.0
2026-03-29 21:14:40.946661,Detection,0,0,0,132.41250000000002,1,7.0
2026-03-29 21:14:40.986731,Detection,0,0,0,132.41250000000002,1,7.0
2026-03-29 21:14:41.026835,Detection,0,0,0,132.41250000000002,1,7.0
