timestamp,log_type,latitude,longitude,altitude_m,max_temp_c,hotspot_count,hotspot_size
2026-04-08 08:56:50.472845,Detection,0,0,0,35.28750000000002,1,5.5
2026-04-08 08:56:50.512992,Detection,0,0,0,35.35000000000002,1,6.0
2026-04-08 08:56:50.592976,Detection,0,0,0,35.35000000000002,1,5.5
2026-04-08 08:56:50.712779,Detection,0,0,0,35.22500000000002,1,5.5
2026-04-08 08:56:50.792664,Detection,0,0,0,35.35000000000002,1,8.5
2026-04-08 08:56:50.833101,Detection,0,0,0,35.35000000000002,1,8.0
2026-04-08 08:56:50.872918,Detection,0,0,0,35.35000000000002,1,7.5
2026-04-08 08:56:50.913210,Detection,0,0,0,35.35000000000002,1,8.5
2026-04-08 08:56:50.952764,Detection,0,0,0,35.35000000000002,1,9.0
2026-04-08 08:56:50.993011,Detection,0,0,0,35.22500000000002,1,7.0
2026-04-08 08:56:51.032823,Detection,0,0,0,35.28750000000002,1,12.0
2026-04-08 08:56:51.073006,Detection,0,0,0,35.28750000000002,1,11.5
2026-04-08 08:56:51.112521,Detection,0,0,0,35.28750000000002,1,13.5
2026-04-08 08:56:51.153062,Detection,0,0,0,35.28750000000002,1,13.0
2026-04-08 08:56:51.192842,Detection,0,0,0,35.28750000000002,1,11.5
2026-04-08 08:56:51.233306,Detection,0,0,0,35.28750000000002,1,10.5
2026-04-08 08:56:51.272783,Detection,0,0,0,35.28750000000002,1,10.5
2026-04-08 08:56:51.313143,Detection,0,0,0,35.28750000000002,1,11.5
2026-04-08 08:56:51.352752,Detection,0,0,0,35.28750000000002,1,12.0
2026-04-08 08:56:51.393043,Detection,0,0,0,35.22500000000002,1,11.0
2026-04-08 08:56:51.432691,Detection,0,0,0,35.22500000000002,1,11.5
2026-04-08 08:56:51.473306,Detection,0,0,0,35.22500000000002,1,13.5
2026-04-08 08:56:51.512877,Detection,0,0,0,35.22500000000002,1,15.5
2026-04-08 08:56:51.553008,Detection,0,0,0,35.22500000000002,1,14.5
2026-04-08 08:56:51.592482,Detection,0,0,0,35.28750000000002,1,13.0
2026-04-08 08:56:51.633114,Detection,0,0,0,35.28750000000002,1,11.0
2026-04-08 08:56:51.672759,Detection,0,0,0,35.22500000000002,1,13.0
2026-04-08 08:56:51.713183,Detection,0,0,0,35.28750000000002,1,10.0
2026-04-08 08:56:51.752807,Detection,0,0,0,35.28750000000002,1,14.5
2026-04-08 08:56:51.793189,Detection,0,0,0,35.22500000000002,1,14.5
2026-04-08 08:56:51.832553,Detection,0,0,0,35.28750000000002,1,13.5
2026-04-08 08:56:51.873173,Detection,0,0,0,35.22500000000002,1,10.5
2026-04-08 08:56:51.912779,Detection,0,0,0,35.41250000000002,1,13.5
2026-04-08 08:56:51.953058,Detection,0,0,0,35.47500000000002,1,14.0
2026-04-08 08:56:51.992858,Detection,0,0,0,35.28750000000002,1,12.0
2026-04-08 08:56:52.033115,Detection,0,0,0,35.28750000000002,1,11.5
2026-04-08 08:56:52.072918,Detection,0,0,0,35.28750000000002,1,13.0
2026-04-08 08:56:52.113017,Detection,0,0,0,35.22500000000002,1,11.5
2026-04-08 08:56:52.152784,Detection,0,0,0,35.16250000000002,1,11.5
2026-04-08 08:56:52.193029,Detection,0,0,0,35.28750000000002,1,14.0
2026-04-08 08:56:52.232841,Detection,0,0,0,35.28750000000002,1,16.5
2026-04-08 08:56:52.273196,Detection,0,0,0,35.28750000000002,1,12.0
2026-04-08 08:56:52.312804,Detection,0,0,0,35.22500000000002,1,10.0
2026-04-08 08:56:52.353046,Detection,0,0,0,35.16250000000002,1,13.5
2026-04-08 08:56:52.392876,Detection,0,0,0,35.22500000000002,1,9.5
2026-04-08 08:56:52.433185,Detection,0,0,0,35.28750000000002,1,12.0
2026-04-08 08:56:52.472884,Detection,0,0,0,35.22500000000002,1,13.0
2026-04-08 08:56:52.513152,Detection,0,0,0,35.28750000000002,1,14.5
2026-04-08 08:56:52.552728,Detection,0,0,0,35.35000000000002,1,17.0
2026-04-08 08:56:52.592825,Detection,0,0,0,35.28750000000002,1,11.5
2026-04-08 08:56:52.632857,Detection,0,0,0,35.28750000000002,1,13.5
2026-04-08 08:56:52.673173,Detection,0,0,0,35.35000000000002,1,15.5
2026-04-08 08:56:52.712773,Detection,0,0,0,35.28750000000002,1,12.0
2026-04-08 08:56:52.753091,Detection,0,0,0,35.22500000000002,1,9.5
2026-04-08 08:56:52.792874,Detection,0,0,0,35.35000000000002,1,7.0
2026-04-08 08:56:52.832853,Detection,0,0,0,35.22500000000002,1,8.5
2026-04-08 08:56:52.872695,Detection,0,0,0,35.28750000000002,1,6.0
2026-04-08 08:56:52.913141,Detection,0,0,0,35.22500000000002,1,5.5
2026-04-08 08:56:54.072777,Heartbeat,0,0,0,,,
